freq	exe_time_jit_off	exe_time_jit_on
0.0	3.4e-05	0.255546
100.0	0.002135	0.000291
200.0	0.006864	6.6e-05
300.0	0.014823	0.000129
400.0	0.030578	0.000236
500.0	0.042375	0.000366
600.0	0.065834	0.000616
700.0	0.085624	0.000715
800.0	0.112866	0.000905
900.0	0.143388	0.00111
1000.0	0.162427	0.001319
1100.0	0.202749	0.001593
1200.0	0.250627	0.001894
1300.0	0.315767	0.002549
1400.0	0.370968	0.003341
1500.0	0.486796	0.0034
1600.0	0.458041	0.003504
1700.0	0.529541	0.004011
1800.0	0.607213	0.005167
1900.0	0.878407	0.005456
2000.0	0.735012	0.005352
2100.0	0.856599	0.006644
2200.0	1.16856	0.007093
2300.0	0.915505	0.007149
2400.0	0.980233	0.009169
2500.0	1.108382	0.009861
2600.0	1.137391	0.00931
2700.0	1.29003	0.010288
2800.0	1.335196	0.01157
2900.0	1.628767	0.017309
3000.0	1.979471	0.014859
3100.0	1.882624	0.015252
3200.0	2.011295	0.014811
3300.0	2.08674	0.015878
3400.0	2.54777	0.01598
3500.0	2.252907	0.017381
3600.0	2.191405	0.018993
3700.0	2.320217	0.019469
3800.0	2.506026	0.021696
3900.0	2.599485	0.020095
4000.0	2.722585	0.023632
4100.0	2.875921	0.023764
4200.0	3.163114	0.02525
4300.0	3.837016	0.025756
4400.0	3.30369	0.027956
4500.0	3.628119	0.027381
4600.0	4.046531	0.029093
4700.0	4.455653	0.035253
4800.0	3.901819	0.032366
4900.0	4.198641	0.033072
5000.0	4.275605	0.03623
5100.0	4.428771	0.034446
5200.0	4.594123	0.036365
5300.0	5.086073	0.039276
5400.0	5.333231	0.040461
5500.0	5.695041	0.042629
5600.0	5.959918	0.045369
5700.0	5.61401	0.046913
5800.0	5.666326	0.048501
5900.0	5.958651	0.052261
6000.0	8.000175	0.053511
6100.0	7.132154	0.052096
6200.0	6.671633	0.059807
6300.0	7.007454	0.059822
6400.0	7.555036	0.05831
6500.0	7.338105	0.061413
6600.0	7.574864	0.060806
6700.0	7.885248	0.066575
6800.0	7.986492	0.062669
6900.0	8.862794	0.069317
7000.0	8.739665	0.072801
7100.0	8.72994	0.069894
7200.0	11.31337	0.076602
7300.0	9.673358	0.077125
7400.0	9.391954	0.07891
7500.0	9.872005	0.077793
7600.0	9.71766	0.093697
7700.0	10.679	0.082161
7800.0	10.96796	0.085433
7900.0	11.0116	0.087186
8000.0	11.30821	0.089636
8100.0	12.03456	0.092761
8200.0	11.45687	0.098404
8300.0	11.95619	0.095126
8400.0	12.19058	0.103735
8500.0	12.53392	0.096977
8600.0	12.86973	0.100792
8700.0	13.25082	0.110018
8800.0	16.49439	0.120438
8900.0	14.92513	0.12568
9000.0	14.98487	0.118929
9100.0	16.32993	0.118062
9200.0	18.61973	0.122742
9300.0	18.41103	0.1222
9400.0	16.67383	0.126338
9500.0	16.43188	0.125698
9600.0	17.21303	0.128483
9700.0	17.42383	0.132518
9800.0	16.64238	0.137486
9900.0	17.20208	0.154177
10000.0	19.81262	0.144052
